sessions_removed,percent_removed,MRR@20,method
7008,0.5159417096814806,0.31319600295170125,Length
7109,0.5199153342565781,0.31333344459114326,Length
7211,0.5239283016492509,0.3134471805916875,Length
7312,0.5279019262243485,0.3130019218926373,Length
7414,0.5319148936170213,0.31322799211114916,Length
7515,0.5358885181921189,0.3128581724943726,Length
7617,0.5399014855847917,0.31240483396183355,Length
7718,0.5438751101598892,0.3131411322453258,Length
7820,0.5478880775525621,0.3132946092007664,Length
7922,0.5519010449452348,0.3124238091908148,Length
8023,0.5558746695203324,0.3124558236834644,Length
8125,0.5598876369130051,0.31191222702339255,Length
8226,0.5634599647488354,0.31210662790481286,Length
8328,0.5666703386629737,0.31253330903657695,Length
8429,0.5698492383230518,0.31255627956832416,Length
8531,0.57305961223719,0.31233881616159104,Length
8633,0.5762699861513283,0.31232011997837067,Length
8734,0.5794488858114062,0.31216751257015746,Length
8836,0.5826592597255444,0.31194296206560523,Length
8937,0.5858381593856226,0.3116886802054122,Length
9039,0.5890485332997608,0.3111416716129204,Length
9140,0.5922274329598389,0.31115969608475563,Length
9242,0.5954378068739771,0.3111518583431146,Length
9344,0.5986481807881153,0.31051067456710824,Length
9445,0.6018270804481933,0.3107934267969009,Length
9547,0.6050374543623316,0.3105420747346013,Length
9648,0.6082163540224097,0.3106565735636325,Length
9750,0.611426727936548,0.31019306411594094,Length
9851,0.614605627596626,0.3100534121980365,Length
9953,0.6178160015107642,0.30970533805697403,Length
10055,0.6210263754249024,0.30972904010857943,Length
