,score,session_id
80,0.0,7214
81,0.0,20058
82,1.1140374366868072e-05,18099
83,5.617331054648419e-06,16941
84,0.0,18486
85,-1.752029362058303e-05,11549
86,9.280855199221987e-05,14050
87,7.772838236602477e-06,14175
88,-1.0623661798417564e-06,926
89,0.0,15878
90,0.0,20460
91,0.0,14297
92,0.0,20719
93,1.1029355052678753e-05,24274
94,-7.5174933046652045e-06,20457
95,-3.347662791515669e-06,12219
96,4.755750177339813e-05,22708
97,0.0,25563
98,-1.1809712547150446e-06,4987
99,0.00014445597421456998,6172
100,0.0,2498
101,0.0,4216
102,0.0,9203
103,-5.797975914593875e-07,14815
104,2.4633875351229553e-05,3177
105,-0.00010291858980469413,5136
106,0.0,17042
107,8.97606049381019e-05,6056
108,3.663541277158115e-05,17453
109,-1.846081222531062e-05,3698
110,1.0366380725802912e-05,533
111,-4.52434942230844e-05,11954
112,-3.470776065528309e-06,14833
113,1.011412049398671e-05,16658
114,-5.726780508122016e-07,25694
115,6.159953931054822e-05,28838
116,-1.793234300522976e-06,4070
117,0.0,4091
118,-8.210515679894713e-05,6690
119,9.819562148763781e-06,10233
120,4.859086491739576e-06,20588
121,-1.349746247705438e-07,22961
122,1.9382648214255796e-05,13770
123,-2.557413943020788e-08,19022
124,2.2907122032484913e-05,23616
125,1.792387348038263e-05,6178
126,0.0,2784
127,5.177547564201654e-05,6455
128,3.821894899754404e-06,26766
129,-9.145643256430774e-07,2754
130,-5.636303012396274e-07,24408
131,-1.083487959666966e-05,12594
132,-2.1115317618129426e-05,1343
133,-7.326456263173445e-06,551
134,1.9620546631350314e-05,23598
135,1.757318275203528e-05,28606
136,-1.873062150030106e-05,6446
137,-2.4953545790452806e-06,16274
138,0.0001402981363852999,22684
139,0.0,28329
140,0.0,17194
141,-1.6196954972465253e-06,25188
142,-5.0824081436326305e-06,18364
143,-1.435595586977875e-05,21133
144,9.879482281638411e-05,5270
145,3.4394991257808044e-05,15610
146,2.7074983884775988e-05,25584
147,8.651445926355834e-06,10251
148,-2.802073210236365e-05,23223
149,5.167599919786473e-06,13782
150,-7.6034352158334206e-06,7476
151,0.0,11680
152,2.384892399469735e-05,25435
153,0.0,25968
154,2.389050858438595e-06,24009
155,2.6460959405565367e-06,10227
156,-7.976258705121288e-06,13508
157,-2.5692816809262836e-06,2909
